,boat_name,activity,time
250,Annie O,Released a blue marlin.,Tuesday @ 2:43 PM
251,Reel Hookup,Lost (Wrong Species).,Tuesday @ 2:32 PM
252,Reel Hookup,Hooked up,Tuesday @ 2:32 PM
253,Fender Bender,Weighed a 504.8 lb blue marlin.,Tuesday @ 2:26 PM
254,Fender Bender,Boated a blue marlin.,Tuesday @ 2:26 PM
255,Fender Bender,Hooked up,Tuesday @12:17 PM
256,Ann Warrick,Released a blue marlin.,Tuesday @ 2:23 PM
257,Ann Warrick,Hooked up,Tuesday @ 1:50 PM
258,Current Sea,Released a blue marlin.,Tuesday @ 2:11 PM
259,Current Sea,Hooked up,Tuesday @ 1:35 PM
260,Dancin Outlaw,Lost (Pulled Hook).,Tuesday @ 2:03 PM
261,Dancin Outlaw,Hooked up,Tuesday @ 2:00 PM
262,Diamond Girl,Released a blue marlin.,Tuesday @ 1:48 PM
263,Diamond Girl,Hooked up,Tuesday @ 1:45 PM
264,Singularis,Lost (Wrong Species).,Tuesday @ 1:32 PM
265,Singularis,Hooked up,Tuesday @ 1:32 PM
266,Waste Knot,Released a blue marlin.,Tuesday @ 1:32 PM
267,Waste Knot,Hooked up,Tuesday @ 1:19 PM
